raw_name	emitted_name	kind	api	owner	reason
DML_TARGET_VERSION	DML_TARGET_VERSION	constant	AI.MachineLearning.DirectML	-	-
DML_TENSOR_DIMENSION_COUNT_MAX	DML_TENSOR_DIMENSION_COUNT_MAX	constant	AI.MachineLearning.DirectML	-	-
DML_TENSOR_DIMENSION_COUNT_MAX1	DML_TENSOR_DIMENSION_COUNT_MAX1	constant	AI.MachineLearning.DirectML	-	-
DML_TEMPORARY_BUFFER_ALIGNMENT	DML_TEMPORARY_BUFFER_ALIGNMENT	constant	AI.MachineLearning.DirectML	-	-
DML_PERSISTENT_BUFFER_ALIGNMENT	DML_PERSISTENT_BUFFER_ALIGNMENT	constant	AI.MachineLearning.DirectML	-	-
DML_MINIMUM_BUFFER_TENSOR_ALIGNMENT	DML_MINIMUM_BUFFER_TENSOR_ALIGNMENT	constant	AI.MachineLearning.DirectML	-	-
WINML_TENSOR_DIMENSION_COUNT_MAX	WINML_TENSOR_DIMENSION_COUNT_MAX	constant	AI.MachineLearning.WinML	-	-
HH_DISPLAY_TOPIC	HH_DISPLAY_TOPIC	constant	Data.HtmlHelp	-	-
HH_HELP_FINDER	HH_HELP_FINDER	constant	Data.HtmlHelp	-	-
HH_DISPLAY_TOC	HH_DISPLAY_TOC	constant	Data.HtmlHelp	-	-
HH_DISPLAY_INDEX	HH_DISPLAY_INDEX	constant	Data.HtmlHelp	-	-
HH_DISPLAY_SEARCH	HH_DISPLAY_SEARCH	constant	Data.HtmlHelp	-	-
HH_SET_WIN_TYPE	HH_SET_WIN_TYPE	constant	Data.HtmlHelp	-	-
HH_GET_WIN_TYPE	HH_GET_WIN_TYPE	constant	Data.HtmlHelp	-	-
HH_GET_WIN_HANDLE	HH_GET_WIN_HANDLE	constant	Data.HtmlHelp	-	-
HH_ENUM_INFO_TYPE	HH_ENUM_INFO_TYPE	constant	Data.HtmlHelp	-	-
HH_SET_INFO_TYPE	HH_SET_INFO_TYPE	constant	Data.HtmlHelp	-	-
HH_SYNC	HH_SYNC	constant	Data.HtmlHelp	-	-
HH_RESERVED1	HH_RESERVED1	constant	Data.HtmlHelp	-	-
HH_RESERVED2	HH_RESERVED2	constant	Data.HtmlHelp	-	-
HH_RESERVED3	HH_RESERVED3	constant	Data.HtmlHelp	-	-
HH_KEYWORD_LOOKUP	HH_KEYWORD_LOOKUP	constant	Data.HtmlHelp	-	-
HH_DISPLAY_TEXT_POPUP	HH_DISPLAY_TEXT_POPUP	constant	Data.HtmlHelp	-	-
HH_HELP_CONTEXT	HH_HELP_CONTEXT	constant	Data.HtmlHelp	-	-
HH_TP_HELP_CONTEXTMENU	HH_TP_HELP_CONTEXTMENU	constant	Data.HtmlHelp	-	-
HH_TP_HELP_WM_HELP	HH_TP_HELP_WM_HELP	constant	Data.HtmlHelp	-	-
HH_CLOSE_ALL	HH_CLOSE_ALL	constant	Data.HtmlHelp	-	-
HH_ALINK_LOOKUP	HH_ALINK_LOOKUP	constant	Data.HtmlHelp	-	-
