issue	api	interface	emitted_interface	guid_label	guid	source
missing_guid	Devices.Tapi	ITnef	ITnef	IID_ITnef	-	-
missing_guid	Graphics.Direct3D	ID3DInclude	ID3DInclude	IID_ID3DInclude	-	-
missing_guid	Graphics.Printing	IPrintAsyncCookie	IPrintAsyncCookie	IID_IPrintAsyncCookie	-	-
missing_guid	Graphics.Printing	IPrintAsyncNewChannelCookie	IPrintAsyncNewChannelCookie	IID_IPrintAsyncNewChannelCookie	-	-
missing_guid	Graphics.Printing	IAsyncGetSendNotificationCookie	IAsyncGetSendNotificationCookie	IID_IAsyncGetSendNotificationCookie	-	-
missing_guid	Graphics.Printing	IAsyncGetSrvReferralCookie	IAsyncGetSrvReferralCookie	IID_IAsyncGetSrvReferralCookie	-	-
missing_guid	Graphics.Printing	IPrintBidiAsyncNotifyRegistration	IPrintBidiAsyncNotifyRegistration	IID_IPrintBidiAsyncNotifyRegistration	-	-
missing_guid	Graphics.Printing	IPrintUnidiAsyncNotifyRegistration	IPrintUnidiAsyncNotifyRegistration	IID_IPrintUnidiAsyncNotifyRegistration	-	-
missing_guid	Graphics.Printing	IPrintAsyncNotifyServerReferral	IPrintAsyncNotifyServerReferral	IID_IPrintAsyncNotifyServerReferral	-	-
missing_guid	Media.Audio.XAudio2	IXAudio2Voice	IXAudio2Voice	IID_IXAudio2Voice	-	-
missing_guid	Media.Audio.XAudio2	IXAudio2SourceVoice	IXAudio2SourceVoice	IID_IXAudio2SourceVoice	-	-
missing_guid	Media.Audio.XAudio2	IXAudio2SubmixVoice	IXAudio2SubmixVoice	IID_IXAudio2SubmixVoice	-	-
missing_guid	Media.Audio.XAudio2	IXAudio2MasteringVoice	IXAudio2MasteringVoice	IID_IXAudio2MasteringVoice	-	-
missing_guid	Media.Audio.XAudio2	IXAudio2EngineCallback	IXAudio2EngineCallback	IID_IXAudio2EngineCallback	-	-
missing_guid	Media.Audio.XAudio2	IXAudio2VoiceCallback	IXAudio2VoiceCallback	IID_IXAudio2VoiceCallback	-	-
missing_guid	Media.DirectShow	IVPBaseConfig	IVPBaseConfig	IID_IVPBaseConfig	-	-
missing_guid	Media.DirectShow	IVPBaseNotify	IVPBaseNotify	IID_IVPBaseNotify	-	-
