set	dll	api	function	canonical	target_id	params	public	reason
downlevel	DirectML.dll	AI.MachineLearning.DirectML	DMLCreateDevice	win32.api.directml.DMLCreateDevice	fn__directml__DMLCreateDevice	4	yes	
downlevel	DirectML.dll	AI.MachineLearning.DirectML	DMLCreateDevice1	win32.api.directml.DMLCreateDevice1	fn__directml__DMLCreateDevice1	5	yes	
downlevel	winml.dll	AI.MachineLearning.WinML	WinMLCreateRuntime	win32.api.winml.WinMLCreateRuntime	fn__winml__WinMLCreateRuntime	1	yes	
downlevel	windows.ai.machinelearning.dll	AI.MachineLearning.WinML	MLCreateOperatorRegistry	win32.api.windows_ai_machinelearning.MLCreateOperatorRegistry	fn__windows_ai_machinelearning__MLCreateOperatorRegistry	1	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMSetGlobalOptions	win32.api.msdrm.DRMSetGlobalOptions	fn__msdrm__DRMSetGlobalOptions	3	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMGetClientVersion	win32.api.msdrm.DRMGetClientVersion	fn__msdrm__DRMGetClientVersion	1	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMInitEnvironment	win32.api.msdrm.DRMInitEnvironment	fn__msdrm__DRMInitEnvironment	7	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMLoadLibrary	win32.api.msdrm.DRMLoadLibrary	fn__msdrm__DRMLoadLibrary	5	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMCreateEnablingPrincipal	win32.api.msdrm.DRMCreateEnablingPrincipal	fn__msdrm__DRMCreateEnablingPrincipal	6	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMCloseHandle	win32.api.msdrm.DRMCloseHandle	fn__msdrm__DRMCloseHandle	1	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMCloseEnvironmentHandle	win32.api.msdrm.DRMCloseEnvironmentHandle	fn__msdrm__DRMCloseEnvironmentHandle	1	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMDuplicateHandle	win32.api.msdrm.DRMDuplicateHandle	fn__msdrm__DRMDuplicateHandle	2	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMDuplicateEnvironmentHandle	win32.api.msdrm.DRMDuplicateEnvironmentHandle	fn__msdrm__DRMDuplicateEnvironmentHandle	2	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMRegisterRevocationList	win32.api.msdrm.DRMRegisterRevocationList	fn__msdrm__DRMRegisterRevocationList	2	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMCheckSecurity	win32.api.msdrm.DRMCheckSecurity	fn__msdrm__DRMCheckSecurity	2	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMRegisterContent	win32.api.msdrm.DRMRegisterContent	fn__msdrm__DRMRegisterContent	1	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMEncrypt	win32.api.msdrm.DRMEncrypt	fn__msdrm__DRMEncrypt	6	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMDecrypt	win32.api.msdrm.DRMDecrypt	fn__msdrm__DRMDecrypt	6	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMCreateBoundLicense	win32.api.msdrm.DRMCreateBoundLicense	fn__msdrm__DRMCreateBoundLicense	5	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMCreateEnablingBitsDecryptor	win32.api.msdrm.DRMCreateEnablingBitsDecryptor	fn__msdrm__DRMCreateEnablingBitsDecryptor	5	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMCreateEnablingBitsEncryptor	win32.api.msdrm.DRMCreateEnablingBitsEncryptor	fn__msdrm__DRMCreateEnablingBitsEncryptor	5	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMAttest	win32.api.msdrm.DRMAttest	fn__msdrm__DRMAttest	5	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMGetTime	win32.api.msdrm.DRMGetTime	fn__msdrm__DRMGetTime	3	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMGetInfo	win32.api.msdrm.DRMGetInfo	fn__msdrm__DRMGetInfo	5	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMGetEnvironmentInfo	win32.api.msdrm.DRMGetEnvironmentInfo	fn__msdrm__DRMGetEnvironmentInfo	5	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMGetProcAddress	win32.api.msdrm.DRMGetProcAddress	fn__msdrm__DRMGetProcAddress	3	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMGetBoundLicenseObjectCount	win32.api.msdrm.DRMGetBoundLicenseObjectCount	fn__msdrm__DRMGetBoundLicenseObjectCount	3	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMGetBoundLicenseObject	win32.api.msdrm.DRMGetBoundLicenseObject	fn__msdrm__DRMGetBoundLicenseObject	4	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMGetBoundLicenseAttributeCount	win32.api.msdrm.DRMGetBoundLicenseAttributeCount	fn__msdrm__DRMGetBoundLicenseAttributeCount	3	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMGetBoundLicenseAttribute	win32.api.msdrm.DRMGetBoundLicenseAttribute	fn__msdrm__DRMGetBoundLicenseAttribute	6	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMCreateClientSession	win32.api.msdrm.DRMCreateClientSession	fn__msdrm__DRMCreateClientSession	5	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMIsActivated	win32.api.msdrm.DRMIsActivated	fn__msdrm__DRMIsActivated	3	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMActivate	win32.api.msdrm.DRMActivate	fn__msdrm__DRMActivate	6	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMGetServiceLocation	win32.api.msdrm.DRMGetServiceLocation	fn__msdrm__DRMGetServiceLocation	6	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMCreateLicenseStorageSession	win32.api.msdrm.DRMCreateLicenseStorageSession	fn__msdrm__DRMCreateLicenseStorageSession	6	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMAddLicense	win32.api.msdrm.DRMAddLicense	fn__msdrm__DRMAddLicense	3	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMAcquireAdvisories	win32.api.msdrm.DRMAcquireAdvisories	fn__msdrm__DRMAcquireAdvisories	4	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMEnumerateLicense	win32.api.msdrm.DRMEnumerateLicense	fn__msdrm__DRMEnumerateLicense	6	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMAcquireLicense	win32.api.msdrm.DRMAcquireLicense	fn__msdrm__DRMAcquireLicense	7	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMDeleteLicense	win32.api.msdrm.DRMDeleteLicense	fn__msdrm__DRMDeleteLicense	2	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMCloseSession	win32.api.msdrm.DRMCloseSession	fn__msdrm__DRMCloseSession	1	yes	
downlevel	msdrm.dll	Data.RightsManagement	DRMDuplicateSession	win32.api.msdrm.DRMDuplicateSession	fn__msdrm__DRMDuplicateSession	2	yes	
